dteday,yr,season,weather_code,t2,hum,wind_speed,cnt,anomaly_score,t2_pct,hum_pct,wind_speed_pct,weather_code_pct,cnt_pct
2015-04-03,2015,0.0,7.0,8.58,88.08,7.92,11298,-0.009781113561482924,33.83768913342504,95.1856946354883,7.152682255845942,68.91334250343878,3.1636863823933976
2015-08-06,2015,1.0,1.0,19.44,67.71,14.9,63468,-0.009379414424996457,90.78404401650619,32.874828060522695,47.73039889958734,0.0,99.72489683631362
2016-12-27,2016,3.0,1.0,2.46,81.92,7.5,10842,-0.008015547633806852,8.253094910591471,84.3191196698762,5.914718019257221,0.0,2.8885832187070153
2015-01-31,2015,3.0,7.0,-0.92,77.92,20.12,10250,-0.006302685770739669,0.5502063273727648,70.83906464924347,76.20357634112793,68.91334250343878,2.3383768913342506
2016-12-05,2016,3.0,1.0,2.06,90.5,7.0,26231,-0.0029097649095850553,7.290233837689134,97.66162310866575,3.988995873452544,0.0,46.62998624484182
2016-08-07,2016,1.0,4.0,21.65,64.69,24.44,38076,-0.0026888196352572447,96.97386519944979,22.97111416781293,91.05914718019257,57.22145804676754,88.58321870701513
2016-12-25,2016,3.0,4.0,12.5,79.42,27.67,36653,-0.0018659972611578812,50.20632737276479,75.92847317744153,95.04814305364512,57.22145804676754,85.00687757909216
2015-01-18,2015,3.0,7.0,1.92,84.33,6.98,13199,-0.00183488019935929,6.602475928473177,89.2709766162311,3.7138927097661623,68.91334250343878,5.914718019257221
2016-09-20,2016,2.0,7.0,16.83,78.42,6.42,37292,-0.0018330380658924117,77.16643741403027,72.48968363136176,1.925722145804677,68.91334250343878,86.51994497936725
2016-07-22,2016,1.0,7.0,21.12,66.92,8.94,35996,-0.0002342272853428362,96.56121045392022,29.848693259972492,10.729023383768913,68.91334250343878,83.35625859697386
